Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
117,117,17-Aug,@,TOR,L1-6,31,31,1,4,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0.237,0.305,0.39,0.694,3,10,R,R.Stripling(78)
118,118,18-Aug,,CHC,L2-3,37,32,2,6,1,1,0,2,4,0,8,0,0,1,1,0,0,0,0.237,0.304,0.389,0.693,8,10,R,A.Sampson(65)
119,119,19-Aug,,BOS,W15-10,45,40,15,18,6,0,5,15,3,0,6,1,0,1,0,0,0,0,0.239,0.306,0.395,0.701,6,9,R,K.Crawford(5)
120,120,20-Aug,,BOS,L3-4,35,34,3,8,0,1,0,2,1,0,8,0,0,0,0,1,0,0,0.239,0.306,0.394,0.7,5,11,R,M.Wacha(64)
121,121,21-Aug,,BOS,W5-3,39,32,5,8,2,0,0,5,5,0,13,2,0,0,0,0,0,0,0.239,0.307,0.393,0.7,10,11,R,N.Pivetta(57)
122,122,23-Aug,,CHW,W5-3,31,28,5,5,1,0,1,5,3,0,7,0,0,0,0,0,1,0,0.239,0.306,0.393,0.699,2,11,R,D.Cease(47)
123,123,24-Aug,,CHW,L3-5,34,31,3,6,2,0,1,3,3,0,6,0,0,0,0,1,0,0,0.238,0.306,0.392,0.698,4,9,R,L.Giolito(62)
124,124,25-Aug,,CHW,W4-3,39,37,4,7,0,0,2,4,1,0,12,1,0,0,1,0,0,1,0.238,0.305,0.392,0.697,7,10,R,L.Lynn(67)
125,125,26-Aug,@,HOU,W2-0,37,33,2,7,1,0,1,2,4,0,7,0,0,0,0,1,1,0,0.238,0.305,0.391,0.697,8,10,R,L.McCullers(58)
126,126,27-Aug,@,HOU,W3-1,35,30,3,6,1,0,2,3,5,0,10,0,0,0,0,1,2,2,0.237,0.305,0.392,0.697,5,9,R,J.Urquidy(49)
127,127,28-Aug,@,HOU,L1-3,34,32,1,7,2,0,0,1,2,0,13,0,0,0,0,0,2,0,0.237,0.305,0.391,0.696,6,10,R,J.Verlander(58)
128,128,30-Aug,@,CLE,L1-5,32,27,1,1,0,0,0,1,4,0,6,0,0,1,1,1,1,0,0.236,0.304,0.389,0.693,4,9,R,C.Quantrill(67)
129,129,31-Aug,@,CLE,W4-0,37,34,4,8,0,0,2,4,3,0,12,0,0,0,0,0,0,0,0.236,0.304,0.389,0.693,6,10,R,T.McKenzie(54)
